cnpj;razao_social;numero_nota;data_emissao;codigo_item;descricao_item;quantidade;valor_unitario;imposto_item
04.163.295/0001-78;Teixeira;556704;2025-05-07;952370;A arte de conseguir mais facilmente;1;286.18;31.74
04.163.295/0001-78;Teixeira;556704;2025-05-07;643405;A arte de realizar seus sonhos antes de tudo;10;702.66;1100.69
04.163.295/0001-78;Teixeira;152104;2025-04-06;897270;A segurança de atingir seus objetivos mais rapidamente;7;456.6;441.39
04.163.295/0001-78;Teixeira;152104;2025-04-06;746229;O prazer de conseguir antes de tudo;3;939.28;675.31
04.163.295/0001-78;Teixeira;152104;2025-04-06;590427;O prazer de conseguir mais rapidamente;3;385.96;214.76
04.163.295/0001-78;Teixeira;741054;2025-03-27;692828;A segurança de inovar naturalmente;10;67.61;92.07
04.163.295/0001-78;Teixeira;741054;2025-03-27;894232;A certeza de concretizar seus projetos de maneira eficaz;1;703.57;63.87
04.163.295/0001-78;Teixeira;741054;2025-03-27;651799;A arte de realizar seus sonhos sem preocupação;3;487.2;189.66
04.163.295/0001-78;Teixeira;307809;2025-04-03;970867;A segurança de atingir seus objetivos direto da fonte;3;272.62;172.03
04.163.295/0001-78;Teixeira;307809;2025-04-03;300936;A liberdade de realizar seus sonhos direto da fonte;4;993.35;341.41
04.163.295/0001-78;Teixeira;307809;2025-04-03;116765;A possibilidade de atingir seus objetivos antes de tudo;1;676.29;59.33
04.163.295/0001-78;Teixeira;307809;2025-04-03;905768;A liberdade de evoluir com confiança;5;338.32;409.27
04.163.295/0001-78;Teixeira;307809;2025-04-03;611067;O direito de inovar mais facilmente;9;822.2;850.25
04.163.295/0001-78;Teixeira;924777;2025-04-15;287563;A possibilidade de atingir seus objetivos mais rapidamente;7;809.52;338.73
04.163.295/0001-78;Teixeira;924777;2025-04-15;630872;O poder de ganhar de maneira eficaz;4;409.32;136.97
04.163.295/0001-78;Teixeira;924777;2025-04-15;232588;A vantagem de avançar direto da fonte;8;903.08;1468.55
04.163.295/0001-78;Teixeira;826581;2025-04-18;757809;A arte de mudar naturalmente;7;197.78;201.75
04.163.295/0001-78;Teixeira;826581;2025-04-18;138617;A liberdade de inovar sem preocupação;3;407.69;272.27
04.163.295/0001-78;Teixeira;617526;2025-04-05;970835;O conforto de evoluir em estado puro;3;656.94;283.25
04.163.295/0001-78;Teixeira;617526;2025-04-05;504833;O poder de concretizar seus projetos de maneira eficaz;4;720.95;714.06
04.163.295/0001-78;Teixeira;862673;2025-03-14;844608;O direito de mudar de maneira eficaz;1;759.69;170.39
04.163.295/0001-78;Teixeira;862673;2025-03-14;236471;A arte de inovar naturalmente;6;904.04;542.54
04.163.295/0001-78;Teixeira;862673;2025-03-14;208610;A segurança de avançar com força total;2;298.0;97.12
04.163.295/0001-78;Teixeira;832657;2025-03-20;405891;O prazer de avançar naturalmente;5;127.14;128.13
04.163.295/0001-78;Teixeira;832657;2025-03-20;761668;A possibilidade de atingir seus objetivos mais rapidamente;9;702.63;1335.48
04.163.295/0001-78;Teixeira;832657;2025-03-20;796135;A segurança de ganhar com toda a tranquilidade;3;300.11;121.37
04.163.295/0001-78;Teixeira;832657;2025-03-20;673822;A segurança de realizar seus sonhos antes de tudo;7;466.98;266.2
04.163.295/0001-78;Teixeira;832657;2025-03-20;605382;A arte de conseguir direto da fonte;7;739.13;844.1
04.163.295/0001-78;Teixeira;148695;2025-03-29;406271;O prazer de evoluir antes de tudo;4;121.82;41.73
04.163.295/0001-78;Teixeira;148695;2025-03-29;813377;O prazer de conseguir em estado puro;6;686.94;626.04
04.163.295/0001-78;Teixeira;148695;2025-03-29;312143;A possibilidade de inovar mais facilmente;3;761.41;232.81
04.163.295/0001-78;Teixeira;148695;2025-03-29;997182;O poder de ganhar mais facilmente;10;547.86;1079.24
04.163.295/0001-78;Teixeira;148695;2025-03-29;520953;A possibilidade de avançar direto da fonte;8;177.58;305.13
04.163.295/0001-78;Teixeira;394392;2025-03-30;235090;O poder de conseguir com confiança;10;973.32;2417.16
04.163.295/0001-78;Teixeira;394392;2025-03-30;367612;O direito de conseguir antes de tudo;7;975.43;1576.49
04.163.295/0001-78;Teixeira;394392;2025-03-30;720477;A liberdade de concretizar seus projetos com toda a tranquilidade;4;144.14;105.71
04.163.295/0001-78;Teixeira;394392;2025-03-30;333625;A segurança de evoluir em estado puro;7;332.45;181.0
04.163.295/0001-78;Teixeira;394392;2025-03-30;904513;A possibilidade de realizar seus sonhos em estado puro;2;686.22;115.37
04.163.295/0001-78;Teixeira;794338;2025-03-27;240372;A possibilidade de avançar em estado puro;7;290.48;492.9
04.163.295/0001-78;Teixeira;794338;2025-03-27;216995;A simplicidade de ganhar mais rapidamente;2;750.82;232.61
04.163.295/0001-78;Teixeira;810715;2025-04-09;972651;A simplicidade de ganhar com toda a tranquilidade;8;738.91;978.38
04.163.295/0001-78;Teixeira;810715;2025-04-09;789420;A segurança de realizar seus sonhos mais rapidamente;5;129.41;161.41
04.163.295/0001-78;Teixeira;810715;2025-04-09;979280;A possibilidade de mudar de maneira eficaz;2;639.84;168.89
04.163.295/0001-78;Teixeira;810715;2025-04-09;556148;A certeza de mudar mais rapidamente;9;878.12;611.62
04.163.295/0001-78;Teixeira;810715;2025-04-09;157891;O prazer de ganhar em estado puro;3;298.6;187.02
04.163.295/0001-78;Teixeira;366438;2025-05-05;797897;A possibilidade de evoluir sem preocupação;7;509.33;748.12
04.163.295/0001-78;Teixeira;366438;2025-05-05;576802;O poder de conseguir com toda a tranquilidade;2;391.71;189.85
04.163.295/0001-78;Teixeira;643827;2025-05-09;619692;A arte de atingir seus objetivos simplesmente;8;709.6;1244.58
04.163.295/0001-78;Teixeira;643827;2025-05-09;560975;A vantagem de conseguir com força total;10;233.94;258.11
04.163.295/0001-78;Teixeira;882841;2025-05-12;178309;A arte de avançar com confiança;8;948.55;811.99
04.163.295/0001-78;Teixeira;882841;2025-05-12;648054;A arte de concretizar seus projetos antes de tudo;10;694.74;1343.65
04.163.295/0001-78;Teixeira;882841;2025-05-12;891600;A arte de ganhar simplesmente;6;818.97;301.94
04.163.295/0001-78;Teixeira;882841;2025-05-12;787955;A arte de mudar mais facilmente;1;706.72;72.45
04.163.295/0001-78;Teixeira;882841;2025-05-12;738714;A segurança de atingir seus objetivos naturalmente;1;282.01;51.11
04.163.295/0001-78;Teixeira;374061;2025-05-01;824974;O conforto de realizar seus sonhos naturalmente;3;223.27;56.21
04.163.295/0001-78;Teixeira;374061;2025-05-01;239222;O prazer de inovar mais rapidamente;7;68.42;83.16
04.163.295/0001-78;Teixeira;374061;2025-05-01;332089;A possibilidade de ganhar de maneira eficaz;1;273.7;34.14
04.163.295/0001-78;Teixeira;374061;2025-05-01;291489;A segurança de atingir seus objetivos com toda a tranquilidade;7;500.72;528.32
04.163.295/0001-78;Teixeira;344482;2025-03-24;507350;A vantagem de ganhar simplesmente;2;533.67;88.86
04.163.295/0001-78;Teixeira;344482;2025-03-24;785928;A certeza de concretizar seus projetos com força total;6;835.13;785.53
04.163.295/0001-78;Teixeira;344482;2025-03-24;509787;A simplicidade de concretizar seus projetos em estado puro;3;549.41;296.23
04.163.295/0001-78;Teixeira;344482;2025-03-24;885980;A arte de conseguir mais facilmente;7;261.86;180.87
04.163.295/0001-78;Teixeira;344482;2025-03-24;958942;A segurança de atingir seus objetivos direto da fonte;8;904.35;1650.31
04.163.295/0001-78;Teixeira;152188;2025-05-01;936765;O direito de realizar seus sonhos de maneira eficaz;9;361.2;610.98
04.163.295/0001-78;Teixeira;152188;2025-05-01;732601;A possibilidade de evoluir antes de tudo;2;365.54;44.65
04.163.295/0001-78;Teixeira;152188;2025-05-01;989203;A simplicidade de conseguir sem preocupação;10;402.76;511.84
04.163.295/0001-78;Teixeira;152188;2025-05-01;624388;A vantagem de conseguir antes de tudo;4;668.91;646.2
04.163.295/0001-78;Teixeira;152188;2025-05-01;510088;A simplicidade de avançar com toda a tranquilidade;10;845.56;1425.94
04.163.295/0001-78;Teixeira;151581;2025-04-10;698405;O poder de ganhar naturalmente;3;801.65;402.76
04.163.295/0001-78;Teixeira;151581;2025-04-10;764168;A vantagem de conseguir sem preocupação;8;498.11;956.17
04.163.295/0001-78;Teixeira;151581;2025-04-10;600197;A simplicidade de conseguir com toda a tranquilidade;3;57.53;40.64
04.163.295/0001-78;Teixeira;151581;2025-04-10;449495;A possibilidade de mudar com toda a tranquilidade;8;854.92;504.22
04.163.295/0001-78;Teixeira;151581;2025-04-10;598534;O direito de mudar com toda a tranquilidade;10;551.1;639.59
04.163.295/0001-78;Teixeira;585750;2025-05-04;752380;O prazer de concretizar seus projetos com força total;8;817.4;730.67
04.163.295/0001-78;Teixeira;585750;2025-05-04;441755;A simplicidade de realizar seus sonhos mais rapidamente;9;738.55;842.4
04.163.295/0001-78;Teixeira;585750;2025-05-04;285898;O poder de concretizar seus projetos mais rapidamente;9;311.32;527.38
04.163.295/0001-78;Teixeira;585750;2025-05-04;673235;A vantagem de atingir seus objetivos direto da fonte;3;228.51;155.93
04.163.295/0001-78;Teixeira;585750;2025-05-04;611823;A possibilidade de ganhar mais facilmente;2;878.62;405.4
04.163.295/0001-78;Teixeira;252801;2025-04-30;165250;A simplicidade de mudar simplesmente;9;608.58;742.37
04.163.295/0001-78;Teixeira;252801;2025-04-30;378305;A simplicidade de mudar mais rapidamente;9;579.55;1212.33
04.163.295/0001-78;Teixeira;252801;2025-04-30;614226;A segurança de conseguir naturalmente;3;764.13;482.56
04.163.295/0001-78;Teixeira;252801;2025-04-30;386965;A possibilidade de conseguir de maneira eficaz;8;614.05;1027.3
04.163.295/0001-78;Teixeira;252801;2025-04-30;641625;O poder de inovar mais facilmente;4;60.0;39.09
04.163.295/0001-78;Teixeira;893586;2025-04-12;710150;A certeza de ganhar simplesmente;1;225.93;35.21
04.163.295/0001-78;Teixeira;893586;2025-04-12;574445;A arte de evoluir sem preocupação;8;639.52;497.61
04.163.295/0001-78;Teixeira;610012;2025-04-04;611609;A simplicidade de realizar seus sonhos direto da fonte;3;253.68;133.13
04.163.295/0001-78;Teixeira;610012;2025-04-04;367762;O poder de realizar seus sonhos simplesmente;1;540.0;123.32
04.163.295/0001-78;Teixeira;610012;2025-04-04;725371;O prazer de concretizar seus projetos de maneira eficaz;8;72.15;46.26
04.163.295/0001-78;Teixeira;610012;2025-04-04;263038;O conforto de concretizar seus projetos com confiança;7;737.51;748.46
04.163.295/0001-78;Teixeira;229426;2025-03-24;747139;O prazer de concretizar seus projetos antes de tudo;4;102.72;48.25
04.163.295/0001-78;Teixeira;229426;2025-03-24;528722;O direito de realizar seus sonhos antes de tudo;10;660.49;781.65
04.163.295/0001-78;Teixeira;229426;2025-03-24;794198;A arte de mudar naturalmente;7;307.78;253.41
04.163.295/0001-78;Teixeira;229426;2025-03-24;943499;O prazer de realizar seus sonhos mais rapidamente;8;882.65;1165.7
04.163.295/0001-78;Teixeira;229426;2025-03-24;121727;O prazer de mudar naturalmente;3;664.96;402.17
04.163.295/0001-78;Teixeira;315926;2025-03-31;212873;O conforto de concretizar seus projetos mais facilmente;9;858.91;1584.49
04.163.295/0001-78;Teixeira;315926;2025-03-31;272402;O conforto de avançar antes de tudo;8;576.75;1128.45
04.163.295/0001-78;Teixeira;683924;2025-03-17;695191;O conforto de mudar sem preocupação;5;782.37;632.77
04.163.295/0001-78;Teixeira;683924;2025-03-17;716456;A simplicidade de atingir seus objetivos de maneira eficaz;7;218.56;258.56
04.163.295/0001-78;Teixeira;112331;2025-03-19;202262;O prazer de concretizar seus projetos com confiança;8;94.57;72.6
04.163.295/0001-78;Teixeira;112331;2025-03-19;690612;O conforto de conseguir antes de tudo;9;391.33;471.01
04.163.295/0001-78;Teixeira;112331;2025-03-19;990885;A simplicidade de mudar simplesmente;8;51.22;87.69
04.163.295/0001-78;Teixeira;112331;2025-03-19;463126;A arte de evoluir mais rapidamente;1;275.53;23.44
